word,synset_1,synset_2,synset_3,synset_4,synset_5,synset_6,synset_7,synset_8,synset_9,synset_10,synset_11,synset_12,synset_13,synset_14,synset_15,synset_16,synset_17,synset_18,synset_19,synset_20,synset_21,synset_22,synset_23,synset_24,synset_25,synset_26,synset_27,synset_28,synset_29,synset_30,synset_31,synset_32,synset_33,synset_34,synset_35,synset_36,synset_37,synset_38,synset_39,synset_40,synset_41,synset_42,synset_43,synset_44,synset_45,synset_46,synset_47,synset_48,synset_49,synset_50,synset_51,synset_52,synset_53,synset_54,synset_55,synset_56,synset_57,synset_58,synset_59,synset_60,synset_61,synset_62,synset_63,synset_64,synset_65,synset_66,synset_67,synset_68,synset_69,synset_70,synset_71,synset_72,synset_73,synset_74,synset_75,synset_76,synset_77,synset_78,synset_79,synset_80,synset_81,synset_82,synset_83,synset_84,synset_85,synset_86,synset_87,synset_88,synset_89,synset_90,synset_91,synset_92,synset_93,synset_94,is_saved
disglair,gloyw,llachar,sgleiniog,llathraidd,araul,pefriol,pelydrol,caboledig,croyw,yn fflachio,golau,fflachio,pelydryn,llathredig,llewyrchus,pelydrus,coeth,drychweddu,claer,adlewyrchol,gwyn,gwawr,clear,clyfar,medrus,dawnus,galluog,deallus,penigamp,arbennig,peniog,craff,talentog,synhwyrol,siarp,abl,llewyrchus,gwybodus,deheuig,rhagorol,miniog,cynhyrchiol,awenus,ffyniannus,doeth,da,cymwys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
diwedd,terfyn,gorffen,diweddglo,diweddiad,cwblhad,diben,gorffeniad,pen,man gorffen,cwblhau,man darfod,casgliad,pen draw,cyrchfan,canlyniad,rhan olaf,cau,ymddeol,clo,terfyniad,terfynol,marwolaeth,darfod,nod,darfyddiad,tranc,cyflawnaid,tynged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
diweddar,newydd,modern,cyfoes,newydd ddigwydd,ffres,heddiw,hwyr,ar ôl amser,ymadawedig,ar ei hôl hi,hyd heddiw,diogel,presennol,ffasiynol,yn perthyn i'r presennol,positif,yn perthyn i'r gorffennol agos,diweddariad,cyfredol,amser,marw,yn y dyddiau hyn,ifanc,diau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
diwethaf,olaf,terfynol,diweddar,blaenorol,y gair diwethaf,gorffenedig,y frenhines diwethaf,gorffen yn olaf,gorffen,diweddu,blwyddyn diwethaf,diweddaraf,marwolaeth,colli,casgliad,mis diwethaf,agos,cynt,dibennu,methu,pennaf,caeedig,y cartref diwethaf,cwblhau,darfod,diwedd,eithaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
diwrnod,dydd,cyfnod,undydd,adeg,dwthwn,dyddgwaith,amser,diwrnod,bore,pedair awr ar hugain,nos,deuddydd,diwrnod gwaith,hyd,beunydd,dyddiad,diwrnod agored,oes,eilddydd,dyddio,dyddiol,diwrnod haul,dyddiau,canol dydd,diwrnod hyfforddi,dechrau'r dydd,drannoeth,wythnos,heddiw,diwedd y dydd,24 awr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dod,cyrraedd,dyfod,agosau,treiddio,nesáu,nesaf,cyrraedd rhywle,symud,closio,dilyn,ymddangos yn rhywle,cyfagos,dŵad,ymddangos,gerllaw,dwad,dod i gasgliad,agosáu,dod i dermau â,dynesu,agos,dod i delerau â,blaenu,ar y ffordd,digwydd,cynyddu,glanio,nesau,teithio,mynd,crwydro,ergyd,cerdded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
drwg,gwael,anfoesol,cas,niweidiol,annuwiol,llygredig,ofnadwy,annerbyniol,andwyol,sbwriel,pechadurus,annymunol,sâl,rhad,tila,peryglus,diwerth,anghymeradwy,cras,siomedig,llym,anfoddhaol,erchyll,drygionus,anfedrus,esgeulus,anweddus,amherffaith,annigonol,trist,direidi,drygioni,drygionus,direidus,anfoesol,niwed,cythreuldeb,anfadrwydd,celwydd,camymddwyn,trygionus,malais,camymddygiad,cellwair,camwedd,dihirwch,cambyhafio,sbeit,hwyl ddiniwed,trychineb,difrodi,mileindra,chwareusrwydd,gwael,troseddu,gweithred ddrwg,twyll,bwriadol,atgasedd,annymunol,fandaliaeth,cas,niweidiol,anffawd,drwg,niweidio,pechadurus,trosedd,anfad,anfadwaith,andwyo,,,,,,,,,,,,,,,,,,,,,,,,0
dweud,siarad,mynegi,adrodd,ynganu,datgan,llefaru,cyfathrebu,lleisio,traethu,sgwrsio,gorchymyn,ymadrodd,sôn,honni,cyhoeddi,hawlio,cynanu,yngan,tybio,llais,rhoi gwybod,crybwyll,trafod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dydd,diwrnod,undydd,pedair awr ar hugain,cyfnod,amser,dwthwn,adeg,dyddgwaith,golau haul,ddoe,yfory,dydd gwaith,deuddydd,beunydd,dyddiad,echddoe,eilddydd,dyddio,trennydd,dyddiau,canol dydd,trannoeth,bore,prynhawn,drannoeth,dechrau'r dydd,heddiw,diwedd y dydd,24 awr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dynodi,arwyddo,dangos,golygu,mynegi,nodi,awgrymu,cyfleu,ysgrifennu,i ddangos,anodi,i nodweddu,enwebu,cyhoeddi,clustnodi,cyfeirio at,cynodi,datgan,i awgrymu,cynrychioli,i adlewyrchu,penu,i atgyfnerthu,bwriadu,ymhlygu,arwyddocâd,profi,cyfeirio,sillafu,pennu,pwyntio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
